"global address list","خەلقئارالىق ئادرېس تىزىملىكى"
"globally unique identifier","ئۇنىۋېرسال خاس كىملىك"
"global template","خەلقئارالىق ئۇسلۇب"
"Global Universal Identification","خەلقئارا ئۇنىۋېرسال كىملىك"
"glomming","توپلاش"
"glow","نۇرلۇق"
"glyph run","ھەرپ شەكلى تىزمىسى"
"GN","GN"
"Go","ئالغا"
"goal seek","نىشانلىق ئىزدەش"
"go back","قايتىش"
"gold","ئالتۇن"
"Government","ھۆكۈمەت"
"Government Community Cloud","ھۆكۈمەت مۇلازىمەت بۇلۇتى"
"Government & politics","ھۆكۈمەت ۋە سىياسىي"
"GPS receiver","GPS قوبۇللىغۇچ"
"grade","دەرىجە"
"Gradebook","نەتىجە قەغىزى"
"Grade Values","نومۇرى"
"gradient","ئۆزگىرىش"
"Grammar","گىرامماتىكا"
"Grammar Options","گىرامماتىكا تاللانمىلىرى"
"Grammar pane","گىرامماتىكا كۆزنىكى"
"graph","گىرافىكلاش"
"graphic","گىرافىك"
"Graphic","گىرافىك"
"graphic filter","گىرافىك سۈزگۈچ"
"Graphics Effects","گىرافىك ئۈنۈملىرى"
"Graphics Fill","گىرافىك تولدۇرۇش"
"Graphics Outline","گىرافىك رامكىسى"
"Graphics Tools","گىرافىك قوراللىرى"
"graph index","گىرافىك ئىندېكسى"
"grave accent","ئۇرغۇ بەلگىسى"
"Grayscale","كۈل رەڭ"
"grayscale","كۈل رەڭ"
"Gregorian calendar","مىلادىيە كالېندارى"
"grid","تورسىمان"
"Grid","تور"
"gridline","تورسىزىق"
"grid lines","كاتەك سىزىقى"
"Grid Matrix","ماترىتسا تورى"
"grid origin","كاتەك بېشى"
"Groove","Groove"
"Groove Music Pass","Groove Music Pass"
"group","گۇرۇپپا"
"group call","گۇرۇپپىنى چاقىرىش"
"group card","گۇرۇپپا كارتىسى"
"group chat","گۇرۇپپا پارىڭى"
"group conversation","گۇرۇپپا سۆھبىتى"
"Grouped List","گۇرۇپپىلىق تىزىملىك"
"group filter control","سۈزگۈچ تىزگىنى"
"group IM","گۇرۇپپا IM"
"group instant messaging","گۇرۇپپا تېز ئۇچۇر ئالاقىسى"
"Group Policy","گۇرۇپپا چارىسى"
"Groups","گۇرۇپپىلار"
"group schedule","گۇرۇپپا كۈنتەرتىپى"
"group screen sharing","گۇرۇپپىدا ئېكراننى ئورتاقلىشىش"
"group video","گۇرۇپپا سىن"
"group video calling","گۇرۇپپا سىنلىق چاقىرىشى"
"guest link","مېھمان ئۇلانمىسى"
"GUI","GUI"
"GUID","GUID"
"guide","يېتەكچى"
"guided navigation","كۆرسەتمىلىك يول باشلاش"
"gutter","ئوقۇر"
"gutter margin","تىكىش سىزىقى"
"HAB","HAB"
"handle","تۇتقۇچ"
"handout","پۈتۈك"
"hands-free","قولسىز"
"handwriting","قوليازما"
"handwriting panel","قوليازما تاختىسى"
"hanging indent","ئاسما"
"hard disk drive","قاتتىق دىسكا قوزغاتقۇچ"
"hard fail","قاتتىق مەغلۇبىيەت"
"hard fault","ئېغىر خاتالىق"
"hard page fault","ئېغىر بەت خاتالىقى"
"hardware","قاتتىق دېتال"
"hardware acceleration","قاتتىق دېتالدا تېزلىتىش"
"hardware overlay","قاتتىق دېتال قاپلاش"
"hash","چاچما"
"Hashtags","# بەلگىلىك خەتكۈچلەر"
"HCK","HCK"
"HD","سۈزۈك (HD)"
"HDMI","HDMI"
"Header","بېشى"
"header","بەت قېشى"
"header row","باش قۇر"
"header source","باش مەنبە"
"heading style","ماۋزۇ ئۇسلۇبى"
"headset","تىڭشىغۇچ"
"health","ساغلاملىق"
"Health Advisor","ساغلاملىق مەسلىھەتچىسى"
"health analyzer","سالامەتلىك ئانالىزچىسى"
"Health & Fitness","سالامەتلىك ۋە ساغلاملىق"
"heat","غەملەكسىز ئوقۇش"
"heat map","ھارارەت خەرىتىسى"
"Hello","Hello"
"Hello World","سالام دۇنيا"
"help","ياردەم"
"Help+Tips","ياردەم+كۆرسەتمىلەر"
"hibernate","ئۈچەككە كىرمەك"
"hidden","يوشۇرۇن"
"hidden network","يوشۇرۇن تور"
"hidden text","يوشۇرۇن تېكست"
"hide","يوشۇرۇش"
"hierarchical address book","قاتلاملىق ئادرېس دەپتىرى"
"hierarchical menu","قاتلاملىق تىزىملىك"
"Hierarchy","قاتلام"
"hierarchy","قاتلام"
"Hierarchy List","قاتلاملىق تىزىملىك"
"high confidence spam","يۇقىرى ئىشەنچلىك ئەخلەت"
"High Contrast","يۇقىرى پەرقلىق"
"highlight","يورۇتماق"
"highlighter","يورۇتقۇچ"
"high-low lines","يۇقىرى - تۆۋەن سىزىق"
"High Quality Video","يۇقىرى ئېنىقلىقتىكى سىن"
"high-stakes testing","تەۋەككۈلچىلىكى يۇقىرى سىناق"
"HIP challenge","HIP سۈرۈشتۈرۈش"
"histogram","تۈۋۈكسىمان گىرافىك"
"history","تارىخ"
"History","نەشىر تارىخى"
"History list","تارىخىي تىزىملىك"
"History worksheet","تارىخىي جەدۋەل"
"hit","تېگىش"
"Hobbies & toys","ھەۋەس ۋە ئويۇنلار"
"Hold","تۇتۇپ تۇرۇش"
"Hold and eDiscovery","ساقلاش ۋە ئاپتوماتىك بايقاش"
"hold down","بېسىپ تۇرماق"
"hologram","ھولوگرامما"
"Holograms","ھولوگرامما"
"holographic label maker","ھولوگرافىك خەتكۈچ ياسىغۇچ"
"HoloLens","HoloLens"
"Home","باشبەت"
"home","ئائىلە"
"home address","ئائىلە ئادرېسى"
"home automation controller","ئائىلە ئاپتوماتلاشتۇرۇش كونتروللىرى"
"Home & garden","ھويلا-ئارام"
"homegroup","ئائىلە گۇرۇپپىسى"
"homegroup computer","ئائىلە كومپيۇتېرى"
"homegroup password","ئائىلە پارولى"
"HomeGroup troubleshooter","ئائىلە گۇرۇپپىسى كاشىلا ئوڭشىغۇچ"
"home page","باشبەت"
"home phone","ئۆي تېلېفونى"
"homework app","تاپشۇرۇق ئەپ"
"homework list","تاپشۇرۇق تىزىملىكى"
"homework website","تاپشۇرۇق تور بېكىتى"
"horizontal axis","گورىزونتال ئوق"
"Horizontal Bullet List","گورىزونتال تىزىملىك"
"horizontal cone chart","گورىزونتال يۇمىلاق گىرافىك"
"horizontal cylinder chart","گورىزونتال سىلىندېرسىمان گىرافىك"
"Horizontal Hierarchy","گورىزونتال قاتلام"
"Horizontal Labeled Hierarchy","گورىزونتال خەتكۈچلۈك قاتلام"
"Horizontal Line","گورىزونتال سىزىق"
"Horizontal Picture List","گورىزونتال رەسىم تىزىملىكى"
"horizontal pyramid chart","گورىزونتال پىرامىدا گىرافىكى"
"horizontal ruler","گورىزونتال سىزغۇچ"
"host","غول كومپيۇتېر"
"Hotels","مېھمانسارايلار"
"Hotmail","Hotmail"
"hotspot","قىزىق نۇقتا"
"hover","جىم تۇرماق"
"HPFS","HPFS"
"HTML","HTML"
"HTML file","HTML ھۆججىتى"
"http","http"
"HTTP","HTTP"
"Hub","مەركەز"
"hub category identifier","مەركەز تۈرى ئايرىغۇچ"
"hub site","مەركەز بېكەت"
"hunt","ئاختۇرۇش"
"hybrid drive","بىرىكمە قوزغاتقۇچ"
"hydrate","تولۇقلاش"
"hyperlink base","ئۇلانما ئاساسى"
"hyperlink display text","ئۇلانما سۆزى"
"hyperlink field","ئۇلانما بۆلىكى"
"Hypertext Markup Language","ئالاھىدە تېكست بەلگىلىك تىل"
"Hypertext Transfer Protocol","ئالاھىدە تېكست يوللاش كېلىشىمى"
"hyphen","سىزىقچە"
"hyphenation","پارچىلاش"
"IBAN","IBAN"
"Iceberg","مۇز تاغ"
"icon","سىنبەلگە"
"Icons","سىنبەلگە"
"ID","ID"
"Ideas","قاراش"
"identification","كىملىك"
"identifier","پەرقلەندۈرگۈچ"
"identity","كىملىك"
"IDL","IDL"
"IDR","ھىندونېزىيە رۇپىيەسى"
"IFS","IFS"
"IFSC code","IFSC نومۇرى"
"IFSV2","IFSV2"
"ignore","پەرۋا قىلماسلىق"
"IIS Manager","تور ئۇچۇر مۇلازىمىتى باشقۇرغۇچ"
"IKE","IKE"
"Illustration & graphic design","رەسىم ۋە گىرافىك لايىھەلەش"
"IM","IM"
"image","رەسىم"
"Image Annotator","رەسىم ئىزاھاتلىغۇچ"
"image picker","رەسىم تاللىغۇچ"
"image stabilization","رەسىم مۇقىملاشتۇرۇش"
"imaging","سۈرەت"
"imaging device","سۈرەت ئۈسكۈنىلىرى"
"IMAP","IMAP"
"IME","IME"
"immersive","چۆكمە"
"immersive headset","چۆكمە تاقىغۇچ"
"Immersive Reader","چۆكمە ئوقۇغۇچ"
"immersive view","چۆكمە كۆرۈنۈش"
"impersonate","بولۇۋېلىش"
"impersonation","بولۇۋېلىش"
"implicit intersection","مۇتلەق توپلام"
"import","ئەكىرىش"
"Import Document","ھۆججەت ئەكىرىش"
"impression","تەسىر"
"inactive","ئاكتىپسىز"
"inactive window","ئاكتىپسىز كۆزنەك"
"in-app offer","ئەپتە ھەق تۆلەش"
"in-app purchase","ئەپتە سېتىۋېلىش"
"in-app subscription","ئەپ مۇشتەرىلىكى"
"Inbox","كەلگەن خەتلەر قىسقۇچى"
"Inbox folder","كەلگەن خەتلەر قىسقۇچى"
"Inbox Zero","نۆل خەت ساندۇقى"
"incident","ھادىسە"
"incident report","كاشىلا دوكلات قىلىش"
"Incidents","ھادىسە"
"Inclusive Language","ئۇنىۋېرسال تىل"
"incoming message","كەلگەن خەت"
"Incorrect Inflection","خاتا تۈرلەش"
"Incorrect Pronoun Case","ئالماشنىڭ كېلىشى خاتا"
"Incorrect Verb Form","پېئىل شەكلى خاتا"
"indent","تارايتىش"
"indentation","تارايتىش"
"index","ئىندېكس"
"index entry","ئىندېكس بېشى"
"index partition","ئىندېكس بۆلىكى"
"index replica","ئىندېكس كۆچۈرۈلمىسى"
"indicator","كۆرسەتكۈچ"
"infinite loop","چەكسىز ئايلانما"
"inflection","تۈرلەش"
"InfoBar","ئۇچۇر بالدىقى"
"InfoPath Filler","InfoPath تولدۇرغۇچ"
"information","ئۇچۇر"
"information service","ئۇچۇر مۇلازىمىتى"
"infrared","ئىنفرا قىزىل نۇر"
"Inicis","Inicis"
"initialize","دەسلەپلەشتۈرمەك"
"ink","سىياھ"
"Ink annotations","سىزما ئىزاھ"
"Ink Art","بوياق قۇتىسى"
"ink as ink","رەسمىي بوياق"
"Ink Editor","سىزما تەھرىرلىگۈچ"
"ink effect","سىزما ئۈنۈم"
"ink equation","يازما تەڭلىمە"
"Ink for phone","تېلېفون بويىقى"
"ink gesture","سىزما ئىشارە"
"ink grab","سىزما تۇتۇش"
"inking","سىياھلاش"
"Ink Math Assistant","ماتېماتىكىلىق سىزما ياردەمچىسى"
"Ink Replay","بوياق قايتىلاش"
"Ink to Math","سىزمىدىن ماتېماتىكىغا"
"Ink Toolbox","سىزما قورالدانى"
"Ink to shape","سىزمىدىن شەكىلگە"
"Ink to Text","سىزمىنى تېكىستكە"
"Inky","سىياھ رەڭگى"
"inline discussion","ئىچكى مۇنازىرە"
"inline image","ئىچكى رەسىم"
"inline movie","ئىچكى سىن"
"inline object","ئىچكى ئوبيېكت"
"inner","رامكا"
"inner join","ئىچكى قوشۇلما"
"In-Place Archive","ئارخىپدان"
"In-Place Archiving","ئورنىدا ئارخىپلاش"
"In-Place eDiscovery & Hold","ئورۇنلۇق بايقاش ۋە تۇرۇق"
"In-Place Hold","ئەسلى نۇسخىنى ئارخىپلاش"
"InPrivate","InPrivate"
"InPrivate Browsing","InPrivate زىيارەت"
"input cell","تولدۇرىدىغان كاتەكچە"
"input device","كىرگۈزۈش ئۈسكۈنىسى"
"input message","كىرگۈزۈش ئۇچۇرى"
"input method editor","كىرگۈزگۈچ تەھرىرى"
"INR","ھىندىستان رۇپىيەسى"
"insert","قىستۇرماق"
"insertion point","قىستۇرۇش نۇقتىسى"
"Insert Screen Shot","‏‏ئېكران كۆرۈنۈشى قىستۇرۇش"
"Insider for Business","سودا ئۈچۈن ئىچكى"
"Insider Hub","ئىچكى مەركەز"
"Insider Program","ئىچكى پىروگراممىسى"
"install","ئورناتماق"
"installation","قاچىلاش"
"installer","قاچىلىغۇچ"
"instance","مىسال"
"InstantGo","InstantGo"
"instant message","تېز ئۇچۇر"
"instant messaging","تېز ئۇچۇر"
"instant-on HD","راۋان سۈزۈك"
"Instant Search","تېز ئىزدەش"
"instruction","بۇيرۇق"
"Instructional tools","سانائەت قوراللىرى"
"integer","پۈتۈن سان"
"integrity","پۈتۈنلۈك"
"intelligence","ئاڭ"
"intelligent","ئاڭلىق"
"intelligent feature","ئەقلىي ئىقتىدار"
"intelligent service","ئەقلىي مۇلازىمەت"
"Intelligent Services","ئەقلىي مۇلازىمەت"
"Intelligent services","ئەقلىي مۇلازىمەت"
"intelligent tool","ئەقلىي قورال"
"IntelliSense","IntelliSense"
"interactive","ئۆز-ئارا"
"interactive demo","ئۆز-ئارالىق ئۈلگە"
"interactive view gallery","كۆرۈنمە توپلىمى"
"interface","ئارايۈز"
"intermediate CA","ئارا CA"
"intermediate certification authority","ئوتتۇرا دەرىجىلىك گۇۋاھنامە ئورگىنى"
"Internal Revenue Service","دۆلەتلىك باج ئىدارىسى"
"international format","خەلقئارالىق ئەندىزە"
"international list","خەلقئارالىق تىزىملىك"
"Internet","ئىنتېرنېت"
"Internet address","ئىنتېرنېت ئادرېسى"
"Internet connection","ئىنتېرنېت ئۇلانمىسى"
"Internet directory","تور يېتەكچىسى"
"Internet Explorer","Internet Explorer"
"Internet Explorer 10","Internet Explorer 10"
"Internet Explorer 10 Consumer Preview","Internet Explorer 10 Consumer Preview"
"Internet Explorer for the desktop","ئۈستەليۈزى Internet Explorer"
"Internet-facing URL","تورغا ئۇلىنىدىغان URL"
"Internet Information Services","تور ئۇچۇر مۇلازىمىتى"
"Internet Information Services Manager","تور ئۇچۇر مۇلازىمىتى باشقۇرغۇچ"
"Internet of Things","تور سۇپىسى"
"Internet Protocol","ئىنتېرنېت كېلىشىمى"
"Internet service provider","ئىنتېرنېت مۇلازىمىتى تەمىنلىگۈچى"
"interrupt","ئۈزۈلۈش"
"intranet","ئىنترانېت"
"Intune Company Portal","Intune Company Portal"
"invalid","ئۈنۈمسىز"
"Inventory & logistics","توشۇش ۋە ئامبارچىلىق"
"invert","تەتۈر قىلماق"
"Inverted Pyramid","تەتۈر پىرامىدا"
"Invisible","يوشۇرۇن"
"invitation","تەكلىپنامە"
"invitation redemption","تەكلىپ نەقلەش"
"invite","تەكلىپ قىلماق"
"Invited","تەكلىپ قىلىنغان"
"invitee","مېھمان"
"invoice PO","زاكاز تالونى"
"I/O","I/O"
"IoT","IoT"
"IP","IP"
"IP address","IP ئادرېسى"
"IRS","IRS"
"ISBLANK","ISBLANK"
"ISERR","ISERR"
"ISFORMULA","فورمۇلاچى"
"ISLOGICAL","ISLOGICAL"
"ISNA","ISNA"
"isometric","تەڭ"
"ISP","ISP"
"ISSPILL","تاشما"
"issuing CA","CA تارقىتىش"
"issuing certification authority","گۇۋاھنامە تارقىتىش ئورگىنى"
